,Name,Coordinates,Longitude,Latitude
191,AGHBALOU,"-8.023392492,31.3620412,0",-8.023392492,31.3620412
192,IRAKENE,"-7.638330034,31.53370873,0",-7.638330034,31.53370873
193,IGHRIES,"-7.48525041,31.53819303,0",-7.48525041,31.53819303
194,ASLOUNE,"-7.537775032,31.39793879,0",-7.537775032,31.39793879
195,TOUFSIRINE,"-7.94218065,31.32806535,0",-7.94218065,31.32806535
196,TIZI,"-8.526339663,31.24506112,0",-8.526339663,31.24506112
197,TABYA,"-8.730839627,31.12571212,0",-8.730839627,31.12571212
198,ZAOUIAT SIDI BOUATHMANE,"-8.439762602,31.22834688,0",-8.439762602,31.22834688
199,OUMNASS,"-8.075032892,31.41957568,0",-8.075032892,31.41957568
200,TOUKHRIBINE,"-8.621873355,31.21458938,0",-8.621873355,31.21458938
201,ZAOUIA,"-6.189698653,31.18766954,0",-6.189698653,31.18766954
202,AGHBALOU,"-8.948213064,31.17455834,0",-8.948213064,31.17455834
203,TAKORAT,"-8.021654891,31.45921889,0",-8.021654891,31.45921889
204,AZIB BOUCETTA,"-7.90764342,31.42494488,0",-7.90764342,31.42494488
205,AZIB LAGHZAIL,"-7.972983125,31.4170951,0",-7.972983125,31.4170951
206,AKBAB,"-6.147943569,31.21255219,0",-6.147943569,31.21255219
207,LABTOURIA,"-7.840299491,31.52592436,0",-7.840299491,31.52592436
208,AIT ZAOUG,"-7.729248187,31.57053875,0",-7.729248187,31.57053875
209,TIFOULTOUTE,"-6.993484029,30.92677653,0",-6.993484029,30.92677653
210,DAR LJAMAA,"-8.390641537,31.25437846,0",-8.390641537,31.25437846
211,TADAOUT AIT BEN ICHOU,"-5.909787184,30.92127586,0",-5.909787184,30.92127586
212,ADOUAR,"-7.429942041,31.57723551,0",-7.429942041,31.57723551
213,TAKATARTE,"-7.434096868,31.58109888,0",-7.434096868,31.58109888
214,TISSI,"-7.397117112,31.48461449,0",-7.397117112,31.48461449
215,BOUKHALF,"-8.388608087,31.23874175,0",-8.388608087,31.23874175
216,AGADIR MHAND OU MANSOUR,"-8.773241006,31.24151626,0",-8.773241006,31.24151626
217,IMINRKHA,"-8.48914155,31.16595943,0",-8.48914155,31.16595943
218,EL MERS,"-7.937945419,31.46339252,0",-7.937945419,31.46339252
219,TASGHIMOUT,"-7.596049686,31.5667969,0",-7.596049686,31.5667969
220,AKHOMASSI,"-5.806772071,31.07413404,0",-5.806772071,31.07413404
221,IHZGANE,"-6.576296689,31.02955922,0",-6.576296689,31.02955922
222,AIT MASSAOUD,"-7.72094672,31.58273024,0",-7.72094672,31.58273024
223,TAMSKRATE,"-7.373666361,31.45594558,0",-7.373666361,31.45594558
224,WLAD DAOUDE,"-6.586287369,31.04518082,0",-6.586287369,31.04518082
225,AGHBALOU,"-8.893896604,31.12083669,0",-8.893896604,31.12083669
226,AIT BEN AHMAD,"-8.899747694,31.1403648,0",-8.899747694,31.1403648
227,EL AAMRIA,"-7.740287467,31.58131405,0",-7.740287467,31.58131405
228,AIT ALIOU HAMMOU,"-7.689011208,31.56679104,0",-7.689011208,31.56679104
229,AIT OUJANA,"-6.159762852,31.19851177,0",-6.159762852,31.19851177
230,AIT ABDELLAH,"-7.320829616,31.60008286,0",-7.320829616,31.60008286
231,OTFANE,"-8.881435021,31.10227937,0",-8.881435021,31.10227937
232,TIWLI,"-8.892694602,31.14254524,0",-8.892694602,31.14254524
233,LBOUR,"-6.200435507,31.20235872,0",-6.200435507,31.20235872
234,WLAD BRAHIM,"-6.593992018,31.10479073,0",-6.593992018,31.10479073
235,OULAD MEBARAKE,"-6.579457415,31.06570115,0",-6.579457415,31.06570115
236,AIT IDIR,"-5.961325926,31.47885178,0",-5.961325926,31.47885178
237,TABOUABDALLITE,"-8.323478372,31.26455622,0",-8.323478372,31.26455622
238,AIT BOUTALAMTE,"-7.779750539,31.55092693,0",-7.779750539,31.55092693
239,IBOUFINE,"-7.288635375,31.45509393,0",-7.288635375,31.45509393
240,OUAOUDRAZE,"-5.953198981,30.93294601,0",-5.953198981,30.93294601
241,TAOUDACHTE,"-6.015224235,31.04080772,0",-6.015224235,31.04080772
242,INZEBIATENE,"-6.915303271,30.89930232,0",-6.915303271,30.89930232
243,ABADOU,"-7.286484649,31.45937531,0",-7.286484649,31.45937531
244,AIT KHALF,"-7.330065637,31.47692002,0",-7.330065637,31.47692002
245,SKOU,"-7.822667352,31.41196395,0",-7.822667352,31.41196395
246,TAOUNIATE TOURMIRT,"-7.763240249,31.44642527,0",-7.763240249,31.44642527
247,TADIAKHTE,"-7.495874793,31.17164245,0",-7.495874793,31.17164245
248,AMASSINE,"-7.50309561,31.17461154,0",-7.50309561,31.17461154
249,TOUGHZA,"-7.524082893,31.16505185,0",-7.524082893,31.16505185
250,TAQANNORT,"-8.80221924,31.2178188,0",-8.80221924,31.2178188
251,IMLOULE,"-6.564315323,30.99235565,0",-6.564315323,30.99235565
252,WIZDARNE,"-7.55147573,31.58689479,0",-7.55147573,31.58689479
253,AMAACHE,"-7.542103244,31.5946006,0",-7.542103244,31.5946006
254,ISLA,"-7.487701544,31.4929985,0",-7.487701544,31.4929985
255,TAMAGUERTE,"-7.505598118,31.50873634,0",-7.505598118,31.50873634
256,BOU OUGLASS,"-7.969176666,31.41383805,0",-7.969176666,31.41383805
257,AIT TAGNANTE,"-7.706342382,31.41991622,0",-7.706342382,31.41991622
258,GTOY,"-7.514625117,31.40434128,0",-7.514625117,31.40434128
259,AGUELMOUS,"-7.849196579,31.38369643,0",-7.849196579,31.38369643
260,SBITI,"-7.829961803,31.39669205,0",-7.829961803,31.39669205
261,OULAD BRAHIM,"-7.972950834,31.42365353,0",-7.972950834,31.42365353
262,KARNI,"-8.494962623,31.16030261,0",-8.494962623,31.16030261
263,IMIZG,"-7.403081295,31.48023229,0",-7.403081295,31.48023229
264,IMIZARE,"-7.446175203,31.59321783,0",-7.446175203,31.59321783
265,BOUGHANIME,"-7.431327923,31.63401065,0",-7.431327923,31.63401065
266,BARHICH,"-8.714338949,31.20620644,0",-8.714338949,31.20620644
267,LAGIDA SFASAF,"-8.312551141,31.36292736,0",-8.312551141,31.36292736
268,COOPERATIVE BABERBAH,"-7.779687393,31.55883902,0",-7.779687393,31.55883902
269,GOUJGAL,"-8.294963958,31.3401911,0",-8.294963958,31.3401911
270,COOP REGRAGUIA,"-7.965930207,31.50089034,0",-7.965930207,31.50089034
271,SIDI BOUNAGA,"-7.344594115,31.65382498,0",-7.344594115,31.65382498
272,IHOUDJINE,"-7.27272228,31.60662193,0",-7.27272228,31.60662193
273,AZIB HAJ KABBOUR,"-7.983499966,31.43853908,0",-7.983499966,31.43853908
274,OULAD RAHOU,"-7.966949071,31.44727826,0",-7.966949071,31.44727826
275,LABCIR,"-7.958594716,31.45426457,0",-7.958594716,31.45426457
276,BOU YOUMAYNE,"-7.944302589,31.45047796,0",-7.944302589,31.45047796
277,SIDI ZITOUN,"-7.937021676,31.47831347,0",-7.937021676,31.47831347
278,AIT BOUAKNAWNE,"-7.769111253,31.54892429,0",-7.769111253,31.54892429
279,,"-6.576583056,31.01060611,0",-6.576583056,31.01060611
280,TISSLIT,"-5.996888979,31.343681,0",-5.996888979,31.343681
281,AGHRI,"-7.628967555,31.42603046,0",-7.628967555,31.42603046
282,TAGUNITE NAIT LHAJ,"-7.358673811,31.53188755,0",-7.358673811,31.53188755
283,LAAOUINA,"-8.270176471,31.26495253,0",-8.270176471,31.26495253
284,AIT ADEL,"-7.26477976,31.65576573,0",-7.26477976,31.65576573
285,AGADIR NAIT BRAHIM,"-8.37785885,31.24288468,0",-8.37785885,31.24288468
286,EL HADADA,"-6.600155731,31.04927708,0",-6.600155731,31.04927708
287,SIDI BOUZKIA,"-7.873511614,31.48057654,0",-7.873511614,31.48057654
288,ESSRAIRI,"-7.87463858,31.52624185,0",-7.87463858,31.52624185
289,AIT SAID OU MANSSOUR,"-6.634203208,31.12506415,0",-6.634203208,31.12506415
290,BOUAZARE,"-6.913093189,30.51757738,0",-6.913093189,30.51757738
291,AIT HAGOU OU ALI,"-6.071805895,31.23615491,0",-6.071805895,31.23615491
292,AIT DRISS,"-6.066892354,31.24922609,0",-6.066892354,31.24922609
293,DAHRA,"-7.82780174,31.417463,0",-7.82780174,31.417463
294,AIT ADDI,"-7.775100533,31.54084274,0",-7.775100533,31.54084274
295,AIT OUADDOUZ,"-7.772363203,31.55278486,0",-7.772363203,31.55278486
296,FRASS,"-8.089387244,31.29172126,0",-8.089387244,31.29172126
297,AOURIZ,"-6.430843111,30.68165465,0",-6.430843111,30.68165465
298,AZRIF,"-7.247572795,31.55144547,0",-7.247572795,31.55144547
299,FOUMTIZGUI,"-7.302268609,31.57075348,0",-7.302268609,31.57075348
300,AIT YAHOU,"-6.008003699,31.33695511,0",-6.008003699,31.33695511
301,WAWOUZGARTE,"-8.930625813,31.17892117,0",-8.930625813,31.17892117
302,TISSGHITE,"-7.480240295,31.16963171,0",-7.480240295,31.16963171
303,AIT OU GAIGOU,"-7.780238757,31.47514754,0",-7.780238757,31.47514754
304,TIGZITE,"-8.066179589,31.3035619,0",-8.066179589,31.3035619
305,TALAT INOUAL,"-8.140615189,31.30856275,0",-8.140615189,31.30856275
306,AIT HAMDOUNE,"-6.177232264,31.18347087,0",-6.177232264,31.18347087
307,TAGHARRAMTE,"-6.967209393,30.91665375,0",-6.967209393,30.91665375
308,TAMAYOUSTE,"-7.057816141,30.73105966,0",-7.057816141,30.73105966
309,ILHAYANA,"-6.151824093,31.20457243,0",-6.151824093,31.20457243
310,TIZAGZAOUINE,"-7.380115544,30.6787643,0",-7.380115544,30.6787643
311,MAIDJATE,"-8.697507567,31.17663789,0",-8.697507567,31.17663789
312,LAAGABE,"-8.783293351,31.24164263,0",-8.783293351,31.24164263
313,AMDASTE,"-7.307865289,31.46136903,0",-7.307865289,31.46136903
314,BEN SALEM,"-8.137404049,31.43176442,0",-8.137404049,31.43176442
315,AIT WAMDANE,"-7.800448969,31.43565779,0",-7.800448969,31.43565779
316,TAGADIRT NBAAOUNE,"-8.855387827,31.10072968,0",-8.855387827,31.10072968
317,TIFADDINE,"-8.308808935,31.22025768,0",-8.308808935,31.22025768
318,AIT WAZARNE,"-8.290549115,31.25226482,0",-8.290549115,31.25226482
319,AIT BEN HARROU,"-7.767059465,31.46988423,0",-7.767059465,31.46988423
320,IMEDER,"-7.382228896,31.11050455,0",-7.382228896,31.11050455
